row,area,notes,country_code,iso3,location_type_code,subregion_code,subregion_name,region_code,region_name,more_developed,less_developed,least_developed,less_not_least_developed,high_income,middle_income,upper_middle_income,lower_middle_income,low_income,sub_saharan_africa,wpp_explicit_hiv_model,population_lt_90k,income_level
92,Turkmenistan,NA,795,TKM,4,5500,Central Asia,935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
93,Uzbekistan,NA,860,UZB,4,5500,Central Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
95,Afghanistan,NA,4,AFG,4,5501,Southern Asia,935,Asia,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,low
96,Bangladesh,NA,50,BGD,4,5501,Southern Asia,935,Asia,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,middle
97,Bhutan,NA,64,BTN,4,5501,Southern Asia,935,Asia,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,middle
98,India,NA,356,IND,4,5501,Southern Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
99,Iran (Islamic Republic of),NA,364,IRN,4,5501,Southern Asia,935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
100,Maldives,NA,462,MDV,4,5501,Southern Asia,935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
101,Nepal,NA,524,NPL,4,5501,Southern Asia,935,Asia,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,low
102,Pakistan,NA,586,PAK,4,5501,Southern Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
103,Sri Lanka,NA,144,LKA,4,5501,Southern Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
105,Brunei Darussalam,NA,96,BRN,4,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
106,Cambodia,NA,116,KHM,4,920,South-Eastern Asia,935,Asia,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,middle
107,Indonesia,NA,360,IDN,4,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
108,Lao People's Democratic Republic,NA,418,LAO,4,920,South-Eastern Asia,935,Asia,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,middle
109,Malaysia,8,458,MYS,4,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
110,Myanmar,NA,104,MMR,4,920,South-Eastern Asia,935,Asia,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,middle
111,Philippines,NA,608,PHL,4,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
112,Singapore,NA,702,SGP,4,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
113,Thailand,NA,764,THA,4,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
114,Timor-Leste,NA,626,TLS,4,920,South-Eastern Asia,935,Asia,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,middle
115,Viet Nam,NA,704,VNM,4,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
117,Armenia,NA,51,ARM,4,922,Western Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
118,Azerbaijan,9,31,AZE,4,922,Western Asia,935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
119,Bahrain,NA,48,BHR,4,922,Western Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
120,Cyprus,10,196,CYP,4,922,Western Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
121,Georgia,11,268,GEO,4,922,Western Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
122,Iraq,NA,368,IRQ,4,922,Western Asia,935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
123,Israel,NA,376,ISR,4,922,Western Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
124,Jordan,NA,400,JOR,4,922,Western Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
125,Kuwait,NA,414,KWT,4,922,Western Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
126,Lebanon,NA,422,LBN,4,922,Western Asia,935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
127,Oman,NA,512,OMN,4,922,Western Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
128,Qatar,NA,634,QAT,4,922,Western Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
129,Saudi Arabia,NA,682,SAU,4,922,Western Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
130,State of Palestine,12,275,PSE,4,922,Western Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
131,Syrian Arab Republic,NA,760,SYR,4,922,Western Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
132,Turkey,NA,792,TUR,4,922,Western Asia,935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
133,United Arab Emirates,NA,784,ARE,4,922,Western Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
134,Yemen,NA,887,YEM,4,922,Western Asia,935,Asia,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,middle
137,Belarus,NA,112,BLR,4,923,Eastern Europe,908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,middle
138,Bulgaria,NA,100,BGR,4,923,Eastern Europe,908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,middle
139,Czechia,NA,203,CZE,4,923,Eastern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
140,Hungary,NA,348,HUN,4,923,Eastern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
141,Poland,NA,616,POL,4,923,Eastern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
142,Republic of Moldova,13,498,MDA,4,923,Eastern Europe,908,Europe,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,middle
143,Romania,NA,642,ROU,4,923,Eastern Europe,908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,middle
144,Russian Federation,NA,643,RUS,4,923,Eastern Europe,908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,middle
145,Slovakia,NA,703,SVK,4,923,Eastern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
146,Ukraine,14,804,UKR,4,923,Eastern Europe,908,Europe,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,middle
148,Channel Islands,15,830,CHI,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
149,Denmark,NA,208,DNK,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
150,Estonia,NA,233,EST,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
151,Faeroe Islands,NA,234,FRO,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,high
152,Finland,16,246,FIN,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
153,Iceland,NA,352,ISL,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
154,Ireland,NA,372,IRL,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
155,Isle of Man,NA,833,IMN,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,high
156,Latvia,NA,428,LVA,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
157,Lithuania,NA,440,LTU,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
158,Norway,17,578,NOR,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
159,Sweden,NA,752,SWE,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
160,United Kingdom,NA,826,GBR,4,924,Northern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
162,Albania,NA,8,ALB,4,925,Southern Europe,908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,middle
163,Andorra,NA,20,AND,4,925,Southern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,high
164,Bosnia and Herzegovina,NA,70,BIH,4,925,Southern Europe,908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,middle
165,Croatia,NA,191,HRV,4,925,Southern Europe,908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,middle
166,Gibraltar,NA,292,GIB,4,925,Southern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,high
167,Greece,NA,300,GRC,4,925,Southern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
168,Holy See,18,336,VAT,4,925,Southern Europe,908,Europe,Yes,No,No,No,Not available,Not available,Not available,Not available,Not available,No,No,Yes,
169,Italy,NA,380,ITA,4,925,Southern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
170,Malta,NA,470,MLT,4,925,Southern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
171,Montenegro,NA,499,MNE,4,925,Southern Europe,908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,middle
172,Portugal,NA,620,PRT,4,925,Southern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
173,San Marino,NA,674,SMR,4,925,Southern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,high
174,Serbia,19,688,SRB,4,925,Southern Europe,908,Europe,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,middle
175,Slovenia,NA,705,SVN,4,925,Southern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
176,Spain,20,724,ESP,4,925,Southern Europe,908,Europe,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
