state,age,total_pop,total_citizen_pop,total_registered,pct_total_registered,pct_total_registered_moe,pct_citizen_registered,pct_citizen_registered_moe,total_voted,pct_total_voted,pct_total_voted_moe,pct_citizen_voted,pct_citizen_voted_moe
ILLINOIS,45 to 64,3402,3208,2347,69,2.4,73.2,2.4,1727,50.8,2.6,53.8,2.7
ILLINOIS,65+,1722,1661,1225,71.1,3.3,73.8,3.3,955,55.4,3.6,57.5,3.7
INDIANA,Total,4913,4693,3048,62,2.1,64.9,2.1,1646,33.5,2,35.1,2.1
INDIANA,18 to 24,559,505,268,48,6.3,53.1,6.7,91,16.3,4.7,18,5.1
INDIANA,25 to 34,879,831,487,55.4,5,58.6,5.1,168,19.1,4,20.2,4.2
INDIANA,35 to 44,830,749,464,55.9,5.2,61.9,5.3,208,25.1,4.5,27.8,4.9
INDIANA,45 to 64,1759,1725,1142,64.9,3.4,66.2,3.4,701,39.8,3.5,40.6,3.5
INDIANA,65+,886,883,688,77.6,4.2,77.9,4.2,478,53.9,5,54.1,5
IOWA,Total,2336,2275,1584,67.8,2.4,69.6,2.4,1203,51.5,2.6,52.9,2.6
IOWA,18 to 24,256,250,110,43,7.7,44,7.8,51,19.7,6.2,20.2,6.3
IOWA,25 to 34,445,414,247,55.6,5.8,59.7,6,141,31.6,5.5,33.9,5.8
IOWA,35 to 44,344,329,238,69.1,6.2,72.2,6.1,179,52.1,6.7,54.5,6.8
IOWA,45 to 64,819,810,598,73,3.8,73.8,3.8,488,59.5,4.3,60.2,4.3
IOWA,65+,471,471,390,82.9,4.3,82.9,4.3,345,73.3,5.1,73.3,5.1
KANSAS,Total,2125,1993,1353,63.7,2.6,67.9,2.6,962,45.3,2.7,48.3,2.8
KANSAS,18 to 24,258,240,87,33.7,7.4,36.1,7.8,34,13.3,5.4,14.3,5.7
KANSAS,25 to 34,414,370,217,52.5,6.2,58.8,6.5,108,26,5.5,29.2,6
KANSAS,35 to 44,324,290,190,58.6,6.9,65.6,7.1,129,39.8,6.9,44.6,7.4
KANSAS,45 to 64,714,678,524,73.4,4.2,77.2,4.1,417,58.4,4.7,61.4,4.7
KANSAS,65+,415,415,335,80.7,4.9,80.7,4.9,274,66,5.9,66,5.9
KENTUCKY,Total,3323,3207,2298,69.2,2.4,71.6,2.4,1525,45.9,2.6,47.5,2.7
KENTUCKY,18 to 24,433,406,226,52.3,7.3,55.7,7.5,101,23.4,6.2,24.9,6.5
KENTUCKY,25 to 34,559,518,349,62.5,6.2,67.4,6.2,202,36.1,6.1,38.9,6.5
KENTUCKY,35 to 44,512,490,382,74.5,5.8,77.9,5.7,236,46,6.7,48.1,6.8
KENTUCKY,45 to 64,1196,1172,866,72.4,3.9,73.9,3.9,619,51.8,4.4,52.8,4.4
KENTUCKY,65+,623,621,475,76.2,5.2,76.5,5.1,367,59,6,59.2,6
LOUISIANA,Total,3450,3342,2398,69.5,2.3,71.7,2.3,1677,48.6,2.5,50.2,2.5
LOUISIANA,18 to 24,501,484,258,51.6,6.5,53.4,6.6,132,26.2,5.7,27.2,5.8
LOUISIANA,25 to 34,643,610,410,63.8,5.5,67.2,5.5,232,36.2,5.5,38.1,5.7
LOUISIANA,35 to 44,502,463,306,60.9,6.3,66,6.4,183,36.5,6.2,39.6,6.6
LOUISIANA,45 to 64,1179,1162,913,77.5,3.5,78.6,3.5,703,59.7,4.1,60.5,4.1
LOUISIANA,65+,625,623,510,81.6,4.5,81.9,4.5,426,68.2,5.4,68.5,5.4
MAINE,Total,1061,1045,799,75.4,2.4,76.5,2.4,642,60.5,2.7,61.5,2.7
MAINE,18 to 24,110,107,54,49.4,8.7,50.7,8.8,33,30.2,8,31,8.1
MAINE,25 to 34,154,152,98,63.5,7,64.4,7.1,67,43.4,7.3,44,7.3
MAINE,35 to 44,153,149,119,77.8,6.1,79.7,6,90,58.6,7.3,60.1,7.3
MAINE,45 to 64,382,376,310,81.2,3.6,82.5,3.6,258,67.7,4.4,68.7,4.4
MAINE,65+,262,260,218,83.4,4.2,83.9,4.1,194,74.2,4.9,74.7,4.9
MARYLAND,Total,4542,4148,2995,65.9,2.2,72.2,2.1,2028,44.7,2.3,48.9,2.4
MARYLAND,18 to 24,490,434,210,42.9,6.9,48.4,7.3,106,21.7,5.7,24.5,6.3
MARYLAND,25 to 34,964,822,544,56.4,4.9,66.1,5.1,265,27.5,4.4,32.3,5
MARYLAND,35 to 44,649,571,432,66.6,5.7,75.8,5.5,285,44,6,50,6.4
MARYLAND,45 to 64,1682,1583,1229,73,3.3,77.6,3.2,912,54.2,3.7,57.6,3.8
MARYLAND,65+,757,738,580,76.6,4.7,78.5,4.6,460,60.8,5.4,62.3,5.5
MASSACHUSETTS,Total,5279,4815,3250,61.6,2,67.5,2,2259,42.8,2,46.9,2.1
MASSACHUSETTS,18 to 24,590,536,238,40.4,6,44.4,6.4,109,18.5,4.8,20.3,5.2
MASSACHUSETTS,25 to 34,983,845,427,43.4,4.7,50.5,5.1,233,23.7,4,27.5,4.6
MASSACHUSETTS,35 to 44,844,718,504,59.8,5,70.3,5.1,298,35.3,4.9,41.5,5.5
MASSACHUSETTS,45 to 64,1813,1696,1271,70.1,3.2,74.9,3.1,974,53.7,3.5,57.4,3.6
MASSACHUSETTS,65+,1049,1021,810,77.3,3.9,79.4,3.8,646,61.6,4.5,63.3,4.5
MICHIGAN,Total,7576,7246,5159,68.1,1.6,71.2,1.6,3416,45.1,1.7,47.1,1.8
MICHIGAN,18 to 24,915,899,448,48.9,5,49.8,5,167,18.3,3.8,18.6,3.9
MICHIGAN,25 to 34,1127,1039,674,59.8,4.4,64.9,4.5,340,30.1,4.1,32.7,4.4
MICHIGAN,35 to 44,1271,1193,863,67.9,3.9,72.3,3.9,546,43,4.2,45.8,4.3
MICHIGAN,45 to 64,2660,2553,1888,71,2.6,74,2.6,1312,49.3,2.9,51.4,3
MICHIGAN,65+,1602,1562,1285,80.2,3,82.3,2.9,1051,65.6,3.6,67.3,3.6
MINNESOTA,Total,4104,3933,2822,68.8,2.2,71.8,2.2,2047,49.9,2.4,52,2.4
MINNESOTA,18 to 24,537,520,206,38.4,6.3,39.6,6.5,112,20.9,5.3,21.6,5.5
MINNESOTA,25 to 34,710,660,416,58.6,5.6,63.1,5.7,252,35.4,5.4,38.1,5.7
MINNESOTA,35 to 44,628,598,465,74,5.3,77.7,5.1,292,46.5,6,48.9,6.2
MINNESOTA,45 to 64,1409,1343,1080,76.7,3.4,80.5,3.3,802,56.9,4,59.7,4
MINNESOTA,65+,819,812,654,79.9,4.2,80.6,4.2,588,71.8,4.8,72.5,4.7
MISSISSIPPI,Total,2182,2142,1628,74.6,2.2,76,2.2,907,41.6,2.5,42.3,2.5
MISSISSIPPI,18 to 24,327,322,218,66.6,6.2,67.8,6.2,85,26.1,5.7,26.5,5.8
MISSISSIPPI,25 to 34,371,360,234,63.1,5.9,64.9,5.9,88,23.8,5.2,24.5,5.4
MISSISSIPPI,35 to 44,311,302,210,67.7,6.3,69.7,6.3,111,35.8,6.4,36.8,6.6
MISSISSIPPI,45 to 64,739,730,591,80,3.5,81,3.4,374,50.6,4.3,51.2,4.4
MISSISSIPPI,65+,434,429,375,86.4,3.9,87.5,3.8,248,57.2,5.6,57.9,5.6
MISSOURI,Total,4505,4429,3194,70.9,2.1,72.1,2.1,1713,38,2.2,38.7,2.2
MISSOURI,18 to 24,442,438,217,49,7.3,49.4,7.3,64,14.5,5.1,14.6,5.1
MISSOURI,25 to 34,749,727,477,63.7,5.4,65.6,5.4,201,26.8,4.9,27.6,5.1
MISSOURI,35 to 44,805,776,586,72.8,4.8,75.5,4.7,305,37.8,5.2,39.2,5.3
MISSOURI,45 to 64,1592,1580,1192,74.8,3.3,75.4,3.3,684,42.9,3.8,43.3,3.8
