fips,pop_2015
21203,16933
21205,24604
21207,17657
21209,52120
21211,45752
21213,17874
21215,17984
21217,25601
21219,12420
21221,14228
21223,8744
21225,14966
21227,123737
21229,12008
21231,20607
21233,13162
21235,36092
21237,7244
21239,25806
22001,62696
22003,25630
22005,119376
22007,22895
22009,41042
22011,36526
22013,13830
22015,125722
22017,251577
22019,198542
22021,10052
22023,6815
22025,10038
22027,16266
22029,20227
22031,27111
22033,446496
22035,7275
22037,19545
22039,33734
22041,20379
22043,22279
22045,73833
22047,33152
22049,15946
22051,436888
22053,31428
22055,239665
22057,98363
22059,14984
22061,47634
22063,137564
22065,11552
22067,26309
22069,39003
22071,390711
22073,156911
22075,23450
22077,22204
22079,131993
22081,8715
22083,20550
22085,24229
22087,45439
22089,52647
22091,10455
22093,21486
22095,43585
22097,83625
22099,53868
22101,52920
22103,249320
22105,128735
22107,4774
22109,113928
22111,22499
22113,59979
22115,51497
22117,46389
22119,40076
22121,25570
22123,11282
22125,15357
22127,14643
23001,107104
23003,68824
23005,289361
23007,30072
23009,54304
23011,120983
23013,39675
23015,33770
23017,57068
23019,151934
23021,16935
23023,35113
23025,50745
23027,39134
23029,31747
23031,201018
24001,72498
24003,564390
24005,829379
24009,90495
24011,32620
24013,167136
24015,102452
24017,155793
24019,32411
24021,245482
24023,29416
24025,249661
24027,312400
24029,19696
24031,1039370
24033,908282
24035,49039
24037,111100
24039,25692
24041,37507
24043,149198
24045,102058
24047,51455
24510,623031
25001,213773
25003,127628
25005,557239
25007,17277
25009,777438
25011,70803
25013,469832
25015,160864
25017,1584914
25019,10901
25021,694475
25023,509193
25025,781326
25027,818339
26001,10332
26003,9246
26005,114085
26007,28705
26009,23035
26011,15297
26013,8575
26015,59389
26017,105244
26019,17391
26021,154802
26023,43604
26025,134154
26027,51295
26029,26155
26031,25392
26033,37965
26035,30608
26037,76967
26039,13850
26041,36412
26043,25647
26045,108435
26047,32899
26049,410249
26051,25206
26053,15539
26055,91511
26057,41308
26059,45860
26061,36169
26063,31755
26065,285674
26067,64051
26069,25325
26071,11315
26073,70637
26075,159191
26077,259525
26079,17230
26081,636508
26083,2122
26085,11693
26087,88350
26089,21624
26091,98334
26093,187114
26095,6423
26097,10796
26099,863979
26101,24440
26103,67280
26105,28721
26107,42987
26109,23460
26111,83630
26113,14874
26115,149369
26117,62728
26119,9289
26121,172373
26123,47863
26125,1240999
26127,26287
26129,20883
26131,6037
26133,23167
26135,8282
26137,24188
26139,280439
26141,12796
26143,23914
26145,193097
26147,159742
26149,60785
26151,41454
26153,8127
26155,68458
26157,53717
26159,75013
26161,361815
26163,1762098
26165,32886
27001,15862
27003,344514
27005,33456
27007,45600
27009,39315
27011,4996
27013,65595
27015,25228
