country,e0_m,e0_f,childmort_m,childmort_f
Russian Federation,64.656185,75.920488,0.011639210000000011,0.008770590000000134
Rwanda,63.141715000000005,67.139092,0.07035623000000002,0.05662250999999985
Réunion,76.03996,82.901938,0.005283150000000014,0.004325079999999981
Saint Lucia,72.166,77.57300000000001,0.017060799999999987,0.012393699999999952
Saint Vincent and the Grenadines,70.683081,74.90100000000001,0.024866499999999903,0.01676729999999993
Samoa,71.1144,77.3872,0.021891219999999878,0.02073855999999996
Sao Tome and Principe,64.048999,68.189803,0.06996683000000004,0.056026730000000136
Saudi Arabia,72.71821800000001,75.638139,0.01608852999999999,0.014431199999999977
Senegal,63.754513,67.540305,0.06000000000000005,0.05027000000000004
Serbia,71.833044,77.49730500000001,0.013417749999999895,0.009687440000000103
Seychelles,68.688168,77.910377,0.01590863000000009,0.00931415999999996
Sierra Leone,49.645277,50.735651000000004,0.14109455000000004,0.12718503000000014
Singapore,80.06304899999999,84.523312,0.0026599999999999957,0.0024800000000000377
Slovakia,72.646688,79.818405,0.007497030000000127,0.006047680000000111
Slovenia,77.252894,83.253371,0.0035573100000000357,0.0027652099999999624
Solomon Islands,68.25530400000001,71.10560100000001,0.03866075999999996,0.03403178000000018
Somalia,53.2777,56.5118,0.13782465,0.12441111999999999
South Africa,56.09648000000001,62.996115,0.05246501999999997,0.041308759999999944
South Sudan,54.1,56.03421899999999,0.12687861999999994,0.11741641999999997
Spain,79.62801999999999,85.320796,0.0036829800000001134,0.003263840000000018
Sri Lanka,71.236801,78.032292,0.010382449999999932,0.008796789999999999
State of Palestine,71.060542,74.762763,0.025800000000000045,0.02100000000000002
Sudan,62.066115,65.135935,0.07665130000000009,0.07144053000000017
Suriname,67.807,74.182,0.025147759999999963,0.021189290000000027
Swaziland,51.565333,58.230534,0.08463264000000015,0.06609751999999991
Sweden,80.00038599999999,83.736425,0.0031612100000000254,0.0025526199999998944
Switzerland,80.495448,84.74537600000001,0.004719909999999938,0.004059319999999866
Syrian Arab Republic,64.379917,76.287585,0.02250339999999995,0.018767559999999905
TFYR Macedonia,73.15775699999999,77.181666,0.010487209999999858,0.009519830000000118
Tajikistan,67.70063499999999,73.48230600000001,0.053928150000000064,0.04325323000000003
Thailand,70.83395300000001,78.419448,0.014699530000000127,0.011294380000000048
Timor-Leste,66.05866,69.505801,0.060453099999999926,0.05070174999999999
Togo,58.327128,59.79914399999999,0.09089999999999998,0.07789999999999997
Tonga,69.574299,75.5554,0.024526099999999995,0.024547550000000085
Trinidad and Tobago,66.87100000000001,73.84,0.034494499999999984,0.02725119999999992
Tunisia,73.044173,77.13011,0.020940949999999958,0.019214419999999954
Turkey,71.5335,78.1224,0.02112354999999999,0.01591554000000006
Turkmenistan,63.89301700000001,70.758595,0.06374516000000008,0.04764999999999997
Uganda,56.48456899999999,60.69700699999999,0.09711776999999988,0.08602743000000002
Ukraine,66.06607199999999,76.022111,0.011825890000000117,0.008870000000000045
United Arab Emirates,76.026344,78.20154699999999,0.00794681999999991,0.006454559999999887
United Kingdom,79.036789,82.83014399999999,0.005258090000000104,0.004211930000000086
United Republic of Tanzania,60.786446,64.780875,0.0669946400000001,0.05942098000000018
United States Virgin Islands,76.6831,81.5305,0.011213219999999802,0.010293510000000006
United States of America,76.46937,81.249913,0.007643940000000016,0.006308410000000042
Uruguay,73.249,80.443703,0.016649580000000164,0.013337769999999916
Uzbekistan,68.09635300000001,73.54158000000001,0.040758709999999976,0.03140750000000003
Vanuatu,69.370896,73.6004,0.03315558000000007,0.02444453999999996
Venezuela (Bolivarian Republic of),69.932159,78.240854,0.018129180000000078,0.013633359999999928
Viet Nam,70.73449000000001,80.306955,0.02732929999999989,0.02080929999999992
Western Sahara,66.895197,70.298802,0.04599149999999996,0.03776537000000002
Yemen,62.809490000000004,65.56851999999999,0.06493959000000005,0.05947022999999996
Zambia,57.51698199999999,61.905026,0.08650208000000015,0.07377850000000008
Zimbabwe,56.104003000000006,59.021078,0.07261401,0.06194959
