gdp,iso3,period,hlthexp,pctf_primary,pctf_secondary,area
504.973936730824,GMB,2012,887.265710596078,50.7164993286133,49.5254592895508,Gambia
4142.8691753655,GEO,2012,9907.19172929436,46.6646881103516,48.1572685241699,Georgia
44065.2489082767,DEU,2012,141826.994564235,48.6466217041016,49.5732002258301,Germany
1629.80022222505,GHA,2012,2439.18045397518,48.9168701171875,46.6303596496582,Ghana
22242.681934771,GRC,2012,61557.7885503691,48.5080413818359,50.067138671875,Greece
45936.7659516989,GRL,2012,NA,NA,NA,Greenland
7583.18700190696,GRD,2012,14363.910501156,NA,NA,Grenada
32499.234245779,GUM,2012,NA,NA,NA,Guam
3299.60513936372,GTM,2012,6449.90906700187,48.4252700805664,46.3353805541992,Guatemala
665.230652982924,GIN,2012,810.637748086927,45.351001739502,37.8456916809082,Guinea
604.268355195888,GNB,2012,1021.86351973594,NA,NA,Guinea-Bissau
3799.75629224491,GUY,2012,7240.3786390059,49.1861381530762,50.4693717956543,Guyana
766.843762318888,HTI,2012,2069.73098435316,NA,NA,Haiti
2178.38855524013,HND,2012,6634.88812321296,48.8699684143066,NA,Honduras
36730.8767001128,HKG,2012,NA,47.9163589477539,48.791820526123,"China, Hong Kong SAR"
12888.3045908829,HUN,2012,29750.6913057884,48.4109992980957,50.2299880981445,Hungary
44562.8180240514,ISL,2012,115785.03243676,49.3551597595215,50.8892784118652,Iceland
1446.98540954319,IND,2012,1879.17437229035,48.0670700073242,NA,India
3687.95399645786,IDN,2012,3224.22891609322,48.4967918395996,51.3316383361816,Indonesia
7832.90263547528,IRN,2012,14815.9641884324,48.4911689758301,49.3083114624023,Iran (Islamic Republic of)
6651.12241981136,IRQ,2012,8211.23504082571,NA,NA,Iraq
49042.3382535461,IRL,2012,119416.487048124,48.8258895874023,48.8498115539551,Ireland
79028.0449845932,IMN,2012,NA,NA,NA,Isle of Man
32525.9565867323,ISR,2012,72903.7779863894,48.8111000061035,49.7218017578125,Israel
